Id,When,Type,Unit,Alberta,ModifiedDate
172126,9/1/1993 12:00:00 AM,WTI,$US/bbl,17.52,9/23/2021 3:36:40 PM
172127,10/1/1993 12:00:00 AM,WTI,$US/bbl,18.17,9/23/2021 3:36:40 PM
172128,11/1/1993 12:00:00 AM,WTI,$US/bbl,16.74,9/23/2021 3:36:40 PM
172129,12/1/1993 12:00:00 AM,WTI,$US/bbl,14.53,9/23/2021 3:36:40 PM
172130,1/1/1994 12:00:00 AM,WTI,$US/bbl,15.02,9/23/2021 3:36:40 PM
172131,2/1/1994 12:00:00 AM,WTI,$US/bbl,14.78,9/23/2021 3:36:40 PM
172132,3/1/1994 12:00:00 AM,WTI,$US/bbl,14.65,9/23/2021 3:36:40 PM
172133,4/1/1994 12:00:00 AM,WTI,$US/bbl,16.33,9/23/2021 3:36:40 PM
172134,5/1/1994 12:00:00 AM,WTI,$US/bbl,17.83,9/23/2021 3:36:40 PM
172135,6/1/1994 12:00:00 AM,WTI,$US/bbl,19.07,9/23/2021 3:36:40 PM
172136,7/1/1994 12:00:00 AM,WTI,$US/bbl,19.66,9/23/2021 3:36:40 PM
172137,8/1/1994 12:00:00 AM,WTI,$US/bbl,18.38,9/23/2021 3:36:40 PM
172138,9/1/1994 12:00:00 AM,WTI,$US/bbl,17.47,9/23/2021 3:36:40 PM
172139,10/1/1994 12:00:00 AM,WTI,$US/bbl,17.71,9/23/2021 3:36:40 PM
172140,11/1/1994 12:00:00 AM,WTI,$US/bbl,18.1,9/23/2021 3:36:40 PM
172141,12/1/1994 12:00:00 AM,WTI,$US/bbl,17.16,9/23/2021 3:36:40 PM
172142,1/1/1995 12:00:00 AM,WTI,$US/bbl,17.99,9/23/2021 3:36:40 PM
172143,2/1/1995 12:00:00 AM,WTI,$US/bbl,18.53,9/23/2021 3:36:40 PM
172144,3/1/1995 12:00:00 AM,WTI,$US/bbl,18.55,9/23/2021 3:36:40 PM
172145,4/1/1995 12:00:00 AM,WTI,$US/bbl,19.89,9/23/2021 3:36:40 PM
172146,5/1/1995 12:00:00 AM,WTI,$US/bbl,19.74,9/23/2021 3:36:40 PM
172147,6/1/1995 12:00:00 AM,WTI,$US/bbl,18.4,9/23/2021 3:36:40 PM
172148,7/1/1995 12:00:00 AM,WTI,$US/bbl,17.26,9/23/2021 3:36:40 PM
172149,8/1/1995 12:00:00 AM,WTI,$US/bbl,17.81,9/23/2021 3:36:40 PM
172150,9/1/1995 12:00:00 AM,WTI,$US/bbl,18.21,9/23/2021 3:36:40 PM
172151,10/1/1995 12:00:00 AM,WTI,$US/bbl,17.4,9/23/2021 3:36:40 PM
172152,11/1/1995 12:00:00 AM,WTI,$US/bbl,18,9/23/2021 3:36:40 PM
172153,12/1/1995 12:00:00 AM,WTI,$US/bbl,19.04,9/23/2021 3:36:40 PM
172154,1/1/1996 12:00:00 AM,WTI,$US/bbl,18.7,9/23/2021 3:36:40 PM
172155,2/1/1996 12:00:00 AM,WTI,$US/bbl,18.78,9/23/2021 3:36:40 PM
172156,3/1/1996 12:00:00 AM,WTI,$US/bbl,21.18,9/23/2021 3:36:40 PM
172157,4/1/1996 12:00:00 AM,WTI,$US/bbl,23.3,9/23/2021 3:36:40 PM
172158,5/1/1996 12:00:00 AM,WTI,$US/bbl,21.09,9/23/2021 3:36:40 PM
172159,6/1/1996 12:00:00 AM,WTI,$US/bbl,20.43,9/23/2021 3:36:40 PM
172160,7/1/1996 12:00:00 AM,WTI,$US/bbl,21.25,9/23/2021 3:36:40 PM
172161,8/1/1996 12:00:00 AM,WTI,$US/bbl,21.91,9/23/2021 3:36:40 PM
172162,9/1/1996 12:00:00 AM,WTI,$US/bbl,23.93,9/23/2021 3:36:40 PM
172163,10/1/1996 12:00:00 AM,WTI,$US/bbl,24.9,9/23/2021 3:36:40 PM
172164,11/1/1996 12:00:00 AM,WTI,$US/bbl,23.55,9/23/2021 3:36:40 PM
172165,12/1/1996 12:00:00 AM,WTI,$US/bbl,25.12,9/23/2021 3:36:40 PM
172166,1/1/1997 12:00:00 AM,WTI,$US/bbl,25.18,9/23/2021 3:36:40 PM
172167,2/1/1997 12:00:00 AM,WTI,$US/bbl,22.17,9/23/2021 3:36:40 PM
172168,3/1/1997 12:00:00 AM,WTI,$US/bbl,20.97,9/23/2021 3:36:40 PM
172169,4/1/1997 12:00:00 AM,WTI,$US/bbl,19.73,9/23/2021 3:36:40 PM
172170,5/1/1997 12:00:00 AM,WTI,$US/bbl,20.87,9/23/2021 3:36:40 PM
172171,6/1/1997 12:00:00 AM,WTI,$US/bbl,19.22,9/23/2021 3:36:40 PM
172172,7/1/1997 12:00:00 AM,WTI,$US/bbl,19.66,9/23/2021 3:36:40 PM
172173,8/1/1997 12:00:00 AM,WTI,$US/bbl,19.95,9/23/2021 3:36:40 PM
172174,9/1/1997 12:00:00 AM,WTI,$US/bbl,19.78,9/23/2021 3:36:40 PM
172175,10/1/1997 12:00:00 AM,WTI,$US/bbl,21.28,9/23/2021 3:36:40 PM
172176,11/1/1997 12:00:00 AM,WTI,$US/bbl,20.22,9/23/2021 3:36:40 PM
172177,12/1/1997 12:00:00 AM,WTI,$US/bbl,18.32,9/23/2021 3:36:40 PM
172178,1/1/1998 12:00:00 AM,WTI,$US/bbl,16.73,9/23/2021 3:36:40 PM
172179,2/1/1998 12:00:00 AM,WTI,$US/bbl,16.08,9/23/2021 3:36:40 PM
172180,3/1/1998 12:00:00 AM,WTI,$US/bbl,15.04,9/23/2021 3:36:40 PM
172181,4/1/1998 12:00:00 AM,WTI,$US/bbl,15.46,9/23/2021 3:36:40 PM
172182,5/1/1998 12:00:00 AM,WTI,$US/bbl,14.93,9/23/2021 3:36:40 PM
172183,6/1/1998 12:00:00 AM,WTI,$US/bbl,13.67,9/23/2021 3:36:40 PM
172184,7/1/1998 12:00:00 AM,WTI,$US/bbl,14.09,9/23/2021 3:36:40 PM
172185,8/1/1998 12:00:00 AM,WTI,$US/bbl,13.38,9/23/2021 3:36:40 PM
172186,9/1/1998 12:00:00 AM,WTI,$US/bbl,14.97,9/23/2021 3:36:40 PM
172187,10/1/1998 12:00:00 AM,WTI,$US/bbl,14.42,9/23/2021 3:36:40 PM
172188,11/1/1998 12:00:00 AM,WTI,$US/bbl,13.04,9/23/2021 3:36:40 PM
172189,12/1/1998 12:00:00 AM,WTI,$US/bbl,11.31,9/23/2021 3:36:40 PM
172190,1/1/1999 12:00:00 AM,WTI,$US/bbl,12.49,9/23/2021 3:36:40 PM
172191,2/1/1999 12:00:00 AM,WTI,$US/bbl,12.02,9/23/2021 3:36:40 PM
172192,3/1/1999 12:00:00 AM,WTI,$US/bbl,14.68,9/23/2021 3:36:40 PM
172193,4/1/1999 12:00:00 AM,WTI,$US/bbl,17.3,9/23/2021 3:36:40 PM
172194,5/1/1999 12:00:00 AM,WTI,$US/bbl,17.77,9/23/2021 3:36:40 PM
172195,6/1/1999 12:00:00 AM,WTI,$US/bbl,17.92,9/23/2021 3:36:40 PM
172196,7/1/1999 12:00:00 AM,WTI,$US/bbl,20.1,9/23/2021 3:36:40 PM
172197,8/1/1999 12:00:00 AM,WTI,$US/bbl,21.28,9/23/2021 3:36:40 PM
172198,9/1/1999 12:00:00 AM,WTI,$US/bbl,23.79,9/23/2021 3:36:40 PM
172199,10/1/1999 12:00:00 AM,WTI,$US/bbl,22.67,9/23/2021 3:36:40 PM
172200,11/1/1999 12:00:00 AM,WTI,$US/bbl,24.77,9/23/2021 3:36:40 PM
172201,12/1/1999 12:00:00 AM,WTI,$US/bbl,26.09,9/23/2021 3:36:40 PM
172202,1/1/2000 12:00:00 AM,WTI,$US/bbl,27.01,9/23/2021 3:36:40 PM
172203,2/1/2000 12:00:00 AM,WTI,$US/bbl,29.3,9/23/2021 3:36:40 PM
172204,3/1/2000 12:00:00 AM,WTI,$US/bbl,29.89,9/23/2021 3:36:40 PM
172205,4/1/2000 12:00:00 AM,WTI,$US/bbl,25.54,9/23/2021 3:36:40 PM
172206,5/1/2000 12:00:00 AM,WTI,$US/bbl,28.81,9/23/2021 3:36:40 PM
172207,6/1/2000 12:00:00 AM,WTI,$US/bbl,31.53,9/23/2021 3:36:40 PM
172208,7/1/2000 12:00:00 AM,WTI,$US/bbl,29.72,9/23/2021 3:36:40 PM
172209,8/1/2000 12:00:00 AM,WTI,$US/bbl,31.14,9/23/2021 3:36:40 PM
172210,9/1/2000 12:00:00 AM,WTI,$US/bbl,33.87,9/23/2021 3:36:40 PM
172211,10/1/2000 12:00:00 AM,WTI,$US/bbl,32.93,9/23/2021 3:36:40 PM
172212,11/1/2000 12:00:00 AM,WTI,$US/bbl,34.26,9/23/2021 3:36:40 PM
172213,12/1/2000 12:00:00 AM,WTI,$US/bbl,28.4,9/23/2021 3:36:40 PM
172214,1/1/2001 12:00:00 AM,WTI,$US/bbl,29.26,9/23/2021 3:36:40 PM
172215,2/1/2001 12:00:00 AM,WTI,$US/bbl,29.64,9/23/2021 3:36:40 PM
172216,3/1/2001 12:00:00 AM,WTI,$US/bbl,27.27,9/23/2021 3:36:40 PM
172217,4/1/2001 12:00:00 AM,WTI,$US/bbl,27.62,9/23/2021 3:36:40 PM
172218,5/1/2001 12:00:00 AM,WTI,$US/bbl,28.68,9/23/2021 3:36:40 PM
172219,6/1/2001 12:00:00 AM,WTI,$US/bbl,27.59,9/23/2021 3:36:40 PM
172220,7/1/2001 12:00:00 AM,WTI,$US/bbl,26.47,9/23/2021 3:36:40 PM
172221,8/1/2001 12:00:00 AM,WTI,$US/bbl,27.31,9/23/2021 3:36:40 PM
172222,9/1/2001 12:00:00 AM,WTI,$US/bbl,25.69,9/23/2021 3:36:40 PM
172223,10/1/2001 12:00:00 AM,WTI,$US/bbl,22.21,9/23/2021 3:36:40 PM
172224,11/1/2001 12:00:00 AM,WTI,$US/bbl,19.67,9/23/2021 3:36:40 PM
172225,12/1/2001 12:00:00 AM,WTI,$US/bbl,19.4,9/23/2021 3:36:40 PM
172226,1/1/2002 12:00:00 AM,WTI,$US/bbl,19.73,9/23/2021 3:36:40 PM
172227,2/1/2002 12:00:00 AM,WTI,$US/bbl,20.76,9/23/2021 3:36:40 PM
172228,3/1/2002 12:00:00 AM,WTI,$US/bbl,24.44,9/23/2021 3:36:40 PM
172229,4/1/2002 12:00:00 AM,WTI,$US/bbl,26.26,9/23/2021 3:36:40 PM
172230,5/1/2002 12:00:00 AM,WTI,$US/bbl,26.95,9/23/2021 3:36:40 PM
172231,6/1/2002 12:00:00 AM,WTI,$US/bbl,25.55,9/23/2021 3:36:40 PM
172232,7/1/2002 12:00:00 AM,WTI,$US/bbl,26.94,9/23/2021 3:36:40 PM
172233,8/1/2002 12:00:00 AM,WTI,$US/bbl,28.2,9/23/2021 3:36:40 PM
172234,9/1/2002 12:00:00 AM,WTI,$US/bbl,29.67,9/23/2021 3:36:40 PM
172235,10/1/2002 12:00:00 AM,WTI,$US/bbl,28.86,9/23/2021 3:36:40 PM
172236,11/1/2002 12:00:00 AM,WTI,$US/bbl,26.19,9/23/2021 3:36:40 PM
172237,12/1/2002 12:00:00 AM,WTI,$US/bbl,29.39,9/23/2021 3:36:40 PM
172238,1/1/2003 12:00:00 AM,WTI,$US/bbl,32.7,9/23/2021 3:36:40 PM
172239,2/1/2003 12:00:00 AM,WTI,$US/bbl,35.73,9/23/2021 3:36:40 PM
172240,3/1/2003 12:00:00 AM,WTI,$US/bbl,33.16,9/23/2021 3:36:40 PM
172241,4/1/2003 12:00:00 AM,WTI,$US/bbl,28.14,9/23/2021 3:36:40 PM
172242,5/1/2003 12:00:00 AM,WTI,$US/bbl,28.07,9/23/2021 3:36:40 PM
172243,6/1/2003 12:00:00 AM,WTI,$US/bbl,30.52,9/23/2021 3:36:40 PM
172244,7/1/2003 12:00:00 AM,WTI,$US/bbl,30.7,9/23/2021 3:36:40 PM
172245,8/1/2003 12:00:00 AM,WTI,$US/bbl,31.6,9/23/2021 3:36:40 PM
172246,9/1/2003 12:00:00 AM,WTI,$US/bbl,28.31,9/23/2021 3:36:40 PM
172247,10/1/2003 12:00:00 AM,WTI,$US/bbl,30.35,9/23/2021 3:36:40 PM
172248,11/1/2003 12:00:00 AM,WTI,$US/bbl,31.06,9/23/2021 3:36:40 PM
172249,12/1/2003 12:00:00 AM,WTI,$US/bbl,32.14,9/23/2021 3:36:40 PM
172250,1/1/2004 12:00:00 AM,WTI,$US/bbl,34.22,9/23/2021 3:36:40 PM
