ID,When,Type,Unit,Alberta,ModifiedDate
172096,03-01-1991 12:00:00 AM,WTI,$US/bbl,19.88,09-23-2021 03:36:41 PM
172097,04-01-1991 12:00:00 AM,WTI,$US/bbl,20.82,09-23-2021 03:36:41 PM
172098,05-01-1991 12:00:00 AM,WTI,$US/bbl,21.25,09-23-2021 03:36:41 PM
172099,06-01-1991 12:00:00 AM,WTI,$US/bbl,20.2,09-23-2021 03:36:41 PM
172100,07-01-1991 12:00:00 AM,WTI,$US/bbl,21.43,09-23-2021 03:36:41 PM
172101,08-01-1991 12:00:00 AM,WTI,$US/bbl,21.68,09-23-2021 03:36:41 PM
172102,09-01-1991 12:00:00 AM,WTI,$US/bbl,21.86,09-23-2021 03:36:41 PM
172103,10-01-1991 12:00:00 AM,WTI,$US/bbl,23.23,09-23-2021 03:36:41 PM
172104,11-01-1991 12:00:00 AM,WTI,$US/bbl,22.43,09-23-2021 03:36:41 PM
172105,12-01-1991 12:00:00 AM,WTI,$US/bbl,19.53,09-23-2021 03:36:41 PM
172106,01-01-1992 12:00:00 AM,WTI,$US/bbl,18.82,09-23-2021 03:36:41 PM
172107,02-01-1992 12:00:00 AM,WTI,$US/bbl,19.01,09-23-2021 03:36:41 PM
172108,03-01-1992 12:00:00 AM,WTI,$US/bbl,18.95,09-23-2021 03:36:41 PM
172109,04-01-1992 12:00:00 AM,WTI,$US/bbl,20.26,09-23-2021 03:36:41 PM
172110,05-01-1992 12:00:00 AM,WTI,$US/bbl,21,09-23-2021 03:36:41 PM
172111,06-01-1992 12:00:00 AM,WTI,$US/bbl,22.36,09-23-2021 03:36:41 PM
172112,07-01-1992 12:00:00 AM,WTI,$US/bbl,21.74,09-23-2021 03:36:41 PM
172113,08-01-1992 12:00:00 AM,WTI,$US/bbl,21.29,09-23-2021 03:36:41 PM
172114,09-01-1992 12:00:00 AM,WTI,$US/bbl,21.92,09-23-2021 03:36:41 PM
172115,10-01-1992 12:00:00 AM,WTI,$US/bbl,21.71,09-23-2021 03:36:41 PM
172116,11-01-1992 12:00:00 AM,WTI,$US/bbl,20.36,09-23-2021 03:36:41 PM
172117,12-01-1992 12:00:00 AM,WTI,$US/bbl,19.41,09-23-2021 03:36:41 PM
172118,01-01-1993 12:00:00 AM,WTI,$US/bbl,19.07,09-23-2021 03:36:41 PM
172119,02-01-1993 12:00:00 AM,WTI,$US/bbl,20.08,09-23-2021 03:36:41 PM
172120,03-01-1993 12:00:00 AM,WTI,$US/bbl,20.35,09-23-2021 03:36:41 PM
172121,04-01-1993 12:00:00 AM,WTI,$US/bbl,20.33,09-23-2021 03:36:41 PM
172122,05-01-1993 12:00:00 AM,WTI,$US/bbl,19.98,09-23-2021 03:36:41 PM
172123,06-01-1993 12:00:00 AM,WTI,$US/bbl,19.13,09-23-2021 03:36:41 PM
172124,07-01-1993 12:00:00 AM,WTI,$US/bbl,17.9,09-23-2021 03:36:41 PM
172125,08-01-1993 12:00:00 AM,WTI,$US/bbl,18.01,09-23-2021 03:36:41 PM
172126,09-01-1993 12:00:00 AM,WTI,$US/bbl,17.52,09-23-2021 03:36:41 PM
172127,10-01-1993 12:00:00 AM,WTI,$US/bbl,18.17,09-23-2021 03:36:41 PM
172128,11-01-1993 12:00:00 AM,WTI,$US/bbl,16.74,09-23-2021 03:36:41 PM
172129,12-01-1993 12:00:00 AM,WTI,$US/bbl,14.53,09-23-2021 03:36:41 PM
172130,01-01-1994 12:00:00 AM,WTI,$US/bbl,15.02,09-23-2021 03:36:41 PM
172131,02-01-1994 12:00:00 AM,WTI,$US/bbl,14.78,09-23-2021 03:36:41 PM
172132,03-01-1994 12:00:00 AM,WTI,$US/bbl,14.65,09-23-2021 03:36:41 PM
172133,04-01-1994 12:00:00 AM,WTI,$US/bbl,16.33,09-23-2021 03:36:41 PM
172134,05-01-1994 12:00:00 AM,WTI,$US/bbl,17.83,09-23-2021 03:36:41 PM
172135,06-01-1994 12:00:00 AM,WTI,$US/bbl,19.07,09-23-2021 03:36:41 PM
172136,07-01-1994 12:00:00 AM,WTI,$US/bbl,19.66,09-23-2021 03:36:41 PM
172137,08-01-1994 12:00:00 AM,WTI,$US/bbl,18.38,09-23-2021 03:36:41 PM
172138,09-01-1994 12:00:00 AM,WTI,$US/bbl,17.47,09-23-2021 03:36:41 PM
172139,10-01-1994 12:00:00 AM,WTI,$US/bbl,17.71,09-23-2021 03:36:41 PM
172140,11-01-1994 12:00:00 AM,WTI,$US/bbl,18.1,09-23-2021 03:36:41 PM
172141,12-01-1994 12:00:00 AM,WTI,$US/bbl,17.16,09-23-2021 03:36:41 PM
172142,01-01-1995 12:00:00 AM,WTI,$US/bbl,17.99,09-23-2021 03:36:41 PM
172143,02-01-1995 12:00:00 AM,WTI,$US/bbl,18.53,09-23-2021 03:36:41 PM
172144,03-01-1995 12:00:00 AM,WTI,$US/bbl,18.55,09-23-2021 03:36:41 PM
172145,04-01-1995 12:00:00 AM,WTI,$US/bbl,19.89,09-23-2021 03:36:41 PM
172146,05-01-1995 12:00:00 AM,WTI,$US/bbl,19.74,09-23-2021 03:36:41 PM
172147,06-01-1995 12:00:00 AM,WTI,$US/bbl,18.4,09-23-2021 03:36:41 PM
172148,07-01-1995 12:00:00 AM,WTI,$US/bbl,17.26,09-23-2021 03:36:41 PM
172149,08-01-1995 12:00:00 AM,WTI,$US/bbl,17.81,09-23-2021 03:36:41 PM
172150,09-01-1995 12:00:00 AM,WTI,$US/bbl,18.21,09-23-2021 03:36:41 PM
172151,10-01-1995 12:00:00 AM,WTI,$US/bbl,17.4,09-23-2021 03:36:41 PM
172152,11-01-1995 12:00:00 AM,WTI,$US/bbl,18,09-23-2021 03:36:41 PM
172153,12-01-1995 12:00:00 AM,WTI,$US/bbl,19.04,09-23-2021 03:36:41 PM
172154,01-01-1996 12:00:00 AM,WTI,$US/bbl,18.7,09-23-2021 03:36:41 PM
172155,02-01-1996 12:00:00 AM,WTI,$US/bbl,18.78,09-23-2021 03:36:41 PM
172156,03-01-1996 12:00:00 AM,WTI,$US/bbl,21.18,09-23-2021 03:36:41 PM
172157,04-01-1996 12:00:00 AM,WTI,$US/bbl,23.3,09-23-2021 03:36:41 PM
172158,05-01-1996 12:00:00 AM,WTI,$US/bbl,21.09,09-23-2021 03:36:41 PM
172159,06-01-1996 12:00:00 AM,WTI,$US/bbl,20.43,09-23-2021 03:36:41 PM
172160,07-01-1996 12:00:00 AM,WTI,$US/bbl,21.25,09-23-2021 03:36:41 PM
172161,08-01-1996 12:00:00 AM,WTI,$US/bbl,21.91,09-23-2021 03:36:41 PM
172162,09-01-1996 12:00:00 AM,WTI,$US/bbl,23.93,09-23-2021 03:36:41 PM
172163,10-01-1996 12:00:00 AM,WTI,$US/bbl,24.9,09-23-2021 03:36:41 PM
172164,11-01-1996 12:00:00 AM,WTI,$US/bbl,23.55,09-23-2021 03:36:41 PM
172165,12-01-1996 12:00:00 AM,WTI,$US/bbl,25.12,09-23-2021 03:36:41 PM
172166,01-01-1997 12:00:00 AM,WTI,$US/bbl,25.18,09-23-2021 03:36:41 PM
172167,02-01-1997 12:00:00 AM,WTI,$US/bbl,22.17,09-23-2021 03:36:41 PM
172168,03-01-1997 12:00:00 AM,WTI,$US/bbl,20.97,09-23-2021 03:36:41 PM
172169,04-01-1997 12:00:00 AM,WTI,$US/bbl,19.73,09-23-2021 03:36:41 PM
172170,05-01-1997 12:00:00 AM,WTI,$US/bbl,20.87,09-23-2021 03:36:41 PM
172171,06-01-1997 12:00:00 AM,WTI,$US/bbl,19.22,09-23-2021 03:36:41 PM
172172,07-01-1997 12:00:00 AM,WTI,$US/bbl,19.66,09-23-2021 03:36:41 PM
172173,08-01-1997 12:00:00 AM,WTI,$US/bbl,19.95,09-23-2021 03:36:41 PM
172174,09-01-1997 12:00:00 AM,WTI,$US/bbl,19.78,09-23-2021 03:36:41 PM
172175,10-01-1997 12:00:00 AM,WTI,$US/bbl,21.28,09-23-2021 03:36:41 PM
172176,11-01-1997 12:00:00 AM,WTI,$US/bbl,20.22,09-23-2021 03:36:41 PM
172177,12-01-1997 12:00:00 AM,WTI,$US/bbl,18.32,09-23-2021 03:36:41 PM
172178,01-01-1998 12:00:00 AM,WTI,$US/bbl,16.73,09-23-2021 03:36:41 PM
172179,02-01-1998 12:00:00 AM,WTI,$US/bbl,16.08,09-23-2021 03:36:41 PM
172180,03-01-1998 12:00:00 AM,WTI,$US/bbl,15.04,09-23-2021 03:36:41 PM
172181,04-01-1998 12:00:00 AM,WTI,$US/bbl,15.46,09-23-2021 03:36:41 PM
172182,05-01-1998 12:00:00 AM,WTI,$US/bbl,14.93,09-23-2021 03:36:41 PM
172183,06-01-1998 12:00:00 AM,WTI,$US/bbl,13.67,09-23-2021 03:36:41 PM
172184,07-01-1998 12:00:00 AM,WTI,$US/bbl,14.09,09-23-2021 03:36:41 PM
172185,08-01-1998 12:00:00 AM,WTI,$US/bbl,13.38,09-23-2021 03:36:41 PM
172186,09-01-1998 12:00:00 AM,WTI,$US/bbl,14.97,09-23-2021 03:36:41 PM
172187,10-01-1998 12:00:00 AM,WTI,$US/bbl,14.42,09-23-2021 03:36:41 PM
172188,11-01-1998 12:00:00 AM,WTI,$US/bbl,13.04,09-23-2021 03:36:41 PM
172189,12-01-1998 12:00:00 AM,WTI,$US/bbl,11.31,09-23-2021 03:36:41 PM
172190,01-01-1999 12:00:00 AM,WTI,$US/bbl,12.49,09-23-2021 03:36:41 PM
172191,02-01-1999 12:00:00 AM,WTI,$US/bbl,12.02,09-23-2021 03:36:41 PM
172192,03-01-1999 12:00:00 AM,WTI,$US/bbl,14.68,09-23-2021 03:36:41 PM
172193,04-01-1999 12:00:00 AM,WTI,$US/bbl,17.3,09-23-2021 03:36:41 PM
172194,05-01-1999 12:00:00 AM,WTI,$US/bbl,17.77,09-23-2021 03:36:41 PM
172195,06-01-1999 12:00:00 AM,WTI,$US/bbl,17.92,09-23-2021 03:36:41 PM
172196,07-01-1999 12:00:00 AM,WTI,$US/bbl,20.1,09-23-2021 03:36:41 PM
172197,08-01-1999 12:00:00 AM,WTI,$US/bbl,21.28,09-23-2021 03:36:41 PM
172198,09-01-1999 12:00:00 AM,WTI,$US/bbl,23.79,09-23-2021 03:36:41 PM
172199,10-01-1999 12:00:00 AM,WTI,$US/bbl,22.67,09-23-2021 03:36:41 PM
172200,11-01-1999 12:00:00 AM,WTI,$US/bbl,24.77,09-23-2021 03:36:41 PM
172201,12-01-1999 12:00:00 AM,WTI,$US/bbl,26.09,09-23-2021 03:36:41 PM
172202,01-01-2000 12:00:00 AM,WTI,$US/bbl,27.01,09-23-2021 03:36:41 PM
172203,02-01-2000 12:00:00 AM,WTI,$US/bbl,29.3,09-23-2021 03:36:41 PM
172204,03-01-2000 12:00:00 AM,WTI,$US/bbl,29.89,09-23-2021 03:36:41 PM
172205,04-01-2000 12:00:00 AM,WTI,$US/bbl,25.54,09-23-2021 03:36:41 PM
172206,05-01-2000 12:00:00 AM,WTI,$US/bbl,28.81,09-23-2021 03:36:41 PM
172207,06-01-2000 12:00:00 AM,WTI,$US/bbl,31.53,09-23-2021 03:36:41 PM
172208,07-01-2000 12:00:00 AM,WTI,$US/bbl,29.72,09-23-2021 03:36:41 PM
172209,08-01-2000 12:00:00 AM,WTI,$US/bbl,31.14,09-23-2021 03:36:41 PM
172210,09-01-2000 12:00:00 AM,WTI,$US/bbl,33.87,09-23-2021 03:36:41 PM
172211,10-01-2000 12:00:00 AM,WTI,$US/bbl,32.93,09-23-2021 03:36:41 PM
172212,11-01-2000 12:00:00 AM,WTI,$US/bbl,34.26,09-23-2021 03:36:41 PM
172213,12-01-2000 12:00:00 AM,WTI,$US/bbl,28.4,09-23-2021 03:36:41 PM
172214,01-01-2001 12:00:00 AM,WTI,$US/bbl,29.26,09-23-2021 03:36:41 PM
172215,02-01-2001 12:00:00 AM,WTI,$US/bbl,29.64,09-23-2021 03:36:41 PM
172216,03-01-2001 12:00:00 AM,WTI,$US/bbl,27.27,09-23-2021 03:36:41 PM
172217,04-01-2001 12:00:00 AM,WTI,$US/bbl,27.62,09-23-2021 03:36:41 PM
172218,05-01-2001 12:00:00 AM,WTI,$US/bbl,28.68,09-23-2021 03:36:41 PM
172219,06-01-2001 12:00:00 AM,WTI,$US/bbl,27.59,09-23-2021 03:36:41 PM
172220,07-01-2001 12:00:00 AM,WTI,$US/bbl,26.47,09-23-2021 03:36:41 PM
172221,08-01-2001 12:00:00 AM,WTI,$US/bbl,27.31,09-23-2021 03:36:41 PM
172222,09-01-2001 12:00:00 AM,WTI,$US/bbl,25.69,09-23-2021 03:36:41 PM
172223,10-01-2001 12:00:00 AM,WTI,$US/bbl,22.21,09-23-2021 03:36:41 PM
172224,11-01-2001 12:00:00 AM,WTI,$US/bbl,19.67,09-23-2021 03:36:41 PM
172225,12-01-2001 12:00:00 AM,WTI,$US/bbl,19.4,09-23-2021 03:36:41 PM
172226,01-01-2002 12:00:00 AM,WTI,$US/bbl,19.73,09-23-2021 03:36:41 PM
172227,02-01-2002 12:00:00 AM,WTI,$US/bbl,20.76,09-23-2021 03:36:41 PM
172228,03-01-2002 12:00:00 AM,WTI,$US/bbl,24.44,09-23-2021 03:36:41 PM
172229,04-01-2002 12:00:00 AM,WTI,$US/bbl,26.26,09-23-2021 03:36:41 PM
172230,05-01-2002 12:00:00 AM,WTI,$US/bbl,26.95,09-23-2021 03:36:41 PM
172231,06-01-2002 12:00:00 AM,WTI,$US/bbl,25.55,09-23-2021 03:36:41 PM
172232,07-01-2002 12:00:00 AM,WTI,$US/bbl,26.94,09-23-2021 03:36:41 PM
172233,08-01-2002 12:00:00 AM,WTI,$US/bbl,28.2,09-23-2021 03:36:41 PM
172234,09-01-2002 12:00:00 AM,WTI,$US/bbl,29.67,09-23-2021 03:36:41 PM
172235,10-01-2002 12:00:00 AM,WTI,$US/bbl,28.86,09-23-2021 03:36:41 PM
172236,11-01-2002 12:00:00 AM,WTI,$US/bbl,26.19,09-23-2021 03:36:41 PM
172237,12-01-2002 12:00:00 AM,WTI,$US/bbl,29.39,09-23-2021 03:36:41 PM
172238,01-01-2003 12:00:00 AM,WTI,$US/bbl,32.7,09-23-2021 03:36:41 PM
172239,02-01-2003 12:00:00 AM,WTI,$US/bbl,35.73,09-23-2021 03:36:41 PM
172240,03-01-2003 12:00:00 AM,WTI,$US/bbl,33.16,09-23-2021 03:36:41 PM
172241,04-01-2003 12:00:00 AM,WTI,$US/bbl,28.14,09-23-2021 03:36:41 PM
172242,05-01-2003 12:00:00 AM,WTI,$US/bbl,28.07,09-23-2021 03:36:41 PM
172243,06-01-2003 12:00:00 AM,WTI,$US/bbl,30.52,09-23-2021 03:36:41 PM
172244,07-01-2003 12:00:00 AM,WTI,$US/bbl,30.7,09-23-2021 03:36:41 PM
172245,08-01-2003 12:00:00 AM,WTI,$US/bbl,31.6,09-23-2021 03:36:41 PM
172246,09-01-2003 12:00:00 AM,WTI,$US/bbl,28.31,09-23-2021 03:36:41 PM
172247,10-01-2003 12:00:00 AM,WTI,$US/bbl,30.35,09-23-2021 03:36:41 PM
172248,11-01-2003 12:00:00 AM,WTI,$US/bbl,31.06,09-23-2021 03:36:41 PM
