Id,When,Vehicle,Alberta,BritishColumbia,Canada,Manitoba,NewBrunswick,NewfoundlandAndLabrador,NovaScotia,Ontario,PrinceEdwardIsland,Quebec,Saskatchewan,ModifiedDate
414479,11/1/1948 12:00:00 AM,"Total, new motor vehicles",0,0,22345,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414480,11/1/1948 12:00:00 AM,Trucks,0,0,6717,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414481,12/1/1948 12:00:00 AM,Passenger cars,0,0,15235,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414482,12/1/1948 12:00:00 AM,"Total, new motor vehicles",0,0,21464,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414483,12/1/1948 12:00:00 AM,Trucks,0,0,6229,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414484,1/1/1949 12:00:00 AM,Passenger cars,0,0,6537,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414485,1/1/1949 12:00:00 AM,"Total, new motor vehicles",0,0,11838,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414486,1/1/1949 12:00:00 AM,Trucks,0,0,5301,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414487,2/1/1949 12:00:00 AM,Passenger cars,0,0,8833,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414488,2/1/1949 12:00:00 AM,"Total, new motor vehicles",0,0,15301,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414489,2/1/1949 12:00:00 AM,Trucks,0,0,6468,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414490,3/1/1949 12:00:00 AM,Passenger cars,0,0,17401,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414491,3/1/1949 12:00:00 AM,"Total, new motor vehicles",0,0,25054,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414492,3/1/1949 12:00:00 AM,Trucks,0,0,7653,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414493,4/1/1949 12:00:00 AM,Passenger cars,0,0,20764,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414494,4/1/1949 12:00:00 AM,"Total, new motor vehicles",0,0,29314,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414495,4/1/1949 12:00:00 AM,Trucks,0,0,8550,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414496,5/1/1949 12:00:00 AM,Passenger cars,0,0,19692,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414497,5/1/1949 12:00:00 AM,"Total, new motor vehicles",0,0,28385,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414498,5/1/1949 12:00:00 AM,Trucks,0,0,8693,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414499,6/1/1949 12:00:00 AM,Passenger cars,0,0,20035,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414500,6/1/1949 12:00:00 AM,"Total, new motor vehicles",0,0,27829,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414501,6/1/1949 12:00:00 AM,Trucks,0,0,7794,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414502,7/1/1949 12:00:00 AM,Passenger cars,0,0,22057,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414503,7/1/1949 12:00:00 AM,"Total, new motor vehicles",0,0,29177,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414504,7/1/1949 12:00:00 AM,Trucks,0,0,7120,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414505,8/1/1949 12:00:00 AM,Passenger cars,0,0,13083,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414506,8/1/1949 12:00:00 AM,"Total, new motor vehicles",0,0,18561,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414507,8/1/1949 12:00:00 AM,Trucks,0,0,5478,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414508,9/1/1949 12:00:00 AM,Passenger cars,0,0,20487,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414509,9/1/1949 12:00:00 AM,"Total, new motor vehicles",0,0,28239,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414510,9/1/1949 12:00:00 AM,Trucks,0,0,7752,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414511,10/1/1949 12:00:00 AM,Passenger cars,0,0,22548,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414512,10/1/1949 12:00:00 AM,"Total, new motor vehicles",0,0,30722,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414513,10/1/1949 12:00:00 AM,Trucks,0,0,8174,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414514,11/1/1949 12:00:00 AM,Passenger cars,0,0,14260,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414515,11/1/1949 12:00:00 AM,"Total, new motor vehicles",0,0,19700,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414516,11/1/1949 12:00:00 AM,Trucks,0,0,5440,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414517,12/1/1949 12:00:00 AM,Passenger cars,0,0,16621,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414518,12/1/1949 12:00:00 AM,"Total, new motor vehicles",0,0,22221,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414519,12/1/1949 12:00:00 AM,Trucks,0,0,5600,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414520,1/1/1950 12:00:00 AM,Passenger cars,0,0,21107,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414521,1/1/1950 12:00:00 AM,"Total, new motor vehicles",0,0,26998,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414522,1/1/1950 12:00:00 AM,Trucks,0,0,5891,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414523,2/1/1950 12:00:00 AM,Passenger cars,0,0,23729,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414524,2/1/1950 12:00:00 AM,"Total, new motor vehicles",0,0,30000,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414525,2/1/1950 12:00:00 AM,Trucks,0,0,6271,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414526,3/1/1950 12:00:00 AM,Passenger cars,0,0,27626,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414527,3/1/1950 12:00:00 AM,"Total, new motor vehicles",0,0,35324,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414528,3/1/1950 12:00:00 AM,Trucks,0,0,7698,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414529,4/1/1950 12:00:00 AM,Passenger cars,0,0,28258,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414530,4/1/1950 12:00:00 AM,"Total, new motor vehicles",0,0,37084,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414531,4/1/1950 12:00:00 AM,Trucks,0,0,8826,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414532,5/1/1950 12:00:00 AM,Passenger cars,0,0,30436,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414533,5/1/1950 12:00:00 AM,"Total, new motor vehicles",0,0,40645,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414534,5/1/1950 12:00:00 AM,Trucks,0,0,10209,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414535,6/1/1950 12:00:00 AM,Passenger cars,0,0,35231,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414536,6/1/1950 12:00:00 AM,"Total, new motor vehicles",0,0,45895,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414537,6/1/1950 12:00:00 AM,Trucks,0,0,10664,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414538,7/1/1950 12:00:00 AM,Passenger cars,0,0,33003,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414539,7/1/1950 12:00:00 AM,"Total, new motor vehicles",0,0,43914,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414540,7/1/1950 12:00:00 AM,Trucks,0,0,10911,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414541,8/1/1950 12:00:00 AM,Passenger cars,0,0,23556,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414542,8/1/1950 12:00:00 AM,"Total, new motor vehicles",0,0,32900,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414543,8/1/1950 12:00:00 AM,Trucks,0,0,9344,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414544,9/1/1950 12:00:00 AM,Passenger cars,0,0,28216,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414545,9/1/1950 12:00:00 AM,"Total, new motor vehicles",0,0,39044,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414546,9/1/1950 12:00:00 AM,Trucks,0,0,10828,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414547,10/1/1950 12:00:00 AM,Passenger cars,0,0,26262,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414548,10/1/1950 12:00:00 AM,"Total, new motor vehicles",0,0,35811,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414549,10/1/1950 12:00:00 AM,Trucks,0,0,9549,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414550,11/1/1950 12:00:00 AM,Passenger cars,0,0,24832,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414551,11/1/1950 12:00:00 AM,"Total, new motor vehicles",0,0,32752,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414552,11/1/1950 12:00:00 AM,Trucks,0,0,7920,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414553,12/1/1950 12:00:00 AM,Passenger cars,0,0,22647,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414554,12/1/1950 12:00:00 AM,"Total, new motor vehicles",0,0,29328,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414555,12/1/1950 12:00:00 AM,Trucks,0,0,6681,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414556,1/1/1951 12:00:00 AM,Passenger cars,0,0,26085,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414557,1/1/1951 12:00:00 AM,"Total, new motor vehicles",0,0,33724,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414558,1/1/1951 12:00:00 AM,Trucks,0,0,7639,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414559,2/1/1951 12:00:00 AM,Passenger cars,0,0,33687,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414560,2/1/1951 12:00:00 AM,"Total, new motor vehicles",0,0,43576,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414561,2/1/1951 12:00:00 AM,Trucks,0,0,9889,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414562,3/1/1951 12:00:00 AM,Passenger cars,0,0,38036,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414563,3/1/1951 12:00:00 AM,"Total, new motor vehicles",0,0,49612,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414564,3/1/1951 12:00:00 AM,Trucks,0,0,11576,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414565,4/1/1951 12:00:00 AM,Passenger cars,0,0,34947,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414566,4/1/1951 12:00:00 AM,"Total, new motor vehicles",0,0,46180,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414567,4/1/1951 12:00:00 AM,Trucks,0,0,11233,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414568,5/1/1951 12:00:00 AM,Passenger cars,0,0,25831,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414569,5/1/1951 12:00:00 AM,"Total, new motor vehicles",0,0,36445,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414570,5/1/1951 12:00:00 AM,Trucks,0,0,10614,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414571,6/1/1951 12:00:00 AM,Passenger cars,0,0,23033,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414572,6/1/1951 12:00:00 AM,"Total, new motor vehicles",0,0,32680,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414573,6/1/1951 12:00:00 AM,Trucks,0,0,9647,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414574,7/1/1951 12:00:00 AM,Passenger cars,0,0,20709,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414575,7/1/1951 12:00:00 AM,"Total, new motor vehicles",0,0,29260,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414576,7/1/1951 12:00:00 AM,Trucks,0,0,8551,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414577,8/1/1951 12:00:00 AM,Passenger cars,0,0,14477,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414578,8/1/1951 12:00:00 AM,"Total, new motor vehicles",0,0,21631,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414579,8/1/1951 12:00:00 AM,Trucks,0,0,7154,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414580,9/1/1951 12:00:00 AM,Passenger cars,0,0,18582,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414581,9/1/1951 12:00:00 AM,"Total, new motor vehicles",0,0,27996,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414582,9/1/1951 12:00:00 AM,Trucks,0,0,9414,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
