ID,When,Type,Alberta,ModifiedDate
97624,01-01-2010 12:00:00 AM,Conventional Oil,2278535.3,09-30-2021 11:18:17 AM
97625,01-01-2010 12:00:00 AM,Natural Gas,9587092300,09-30-2021 11:18:17 AM
97626,01-01-2010 12:00:00 AM,Non-Conventional Oil,5968168.2,09-30-2021 11:18:17 AM
97627,02-01-2010 12:00:00 AM,Non-Conventional Oil,6238742.9,09-30-2021 11:18:17 AM
97628,02-01-2010 12:00:00 AM,Natural Gas,8787291700,09-30-2021 11:18:17 AM
97629,02-01-2010 12:00:00 AM,Conventional Oil,2108766.8,09-30-2021 11:18:17 AM
97630,03-01-2010 12:00:00 AM,Non-Conventional Oil,6924355.2,09-30-2021 11:18:17 AM
97631,03-01-2010 12:00:00 AM,Conventional Oil,2352116.8,09-30-2021 11:18:17 AM
97632,03-01-2010 12:00:00 AM,Natural Gas,9863017800,09-30-2021 11:18:17 AM
97633,04-01-2010 12:00:00 AM,Non-Conventional Oil,6700924.9,09-30-2021 11:18:17 AM
97634,04-01-2010 12:00:00 AM,Conventional Oil,2245983.6,09-30-2021 11:18:17 AM
97635,04-01-2010 12:00:00 AM,Natural Gas,9622388700,09-30-2021 11:18:17 AM
97636,05-01-2010 12:00:00 AM,Natural Gas,9790009400,09-30-2021 11:18:17 AM
97637,05-01-2010 12:00:00 AM,Non-Conventional Oil,7328029.1,09-30-2021 11:18:17 AM
97638,05-01-2010 12:00:00 AM,Conventional Oil,2304554.8,09-30-2021 11:18:17 AM
97639,06-01-2010 12:00:00 AM,Natural Gas,9112047000,09-30-2021 11:18:17 AM
97640,06-01-2010 12:00:00 AM,Non-Conventional Oil,7340886.7,09-30-2021 11:18:17 AM
97641,06-01-2010 12:00:00 AM,Conventional Oil,2192497.5,09-30-2021 11:18:17 AM
97642,07-01-2010 12:00:00 AM,Non-Conventional Oil,7571798.3,09-30-2021 11:18:17 AM
97643,07-01-2010 12:00:00 AM,Natural Gas,9584063800,09-30-2021 11:18:17 AM
97644,07-01-2010 12:00:00 AM,Conventional Oil,2286966.9,09-30-2021 11:18:17 AM
97645,08-01-2010 12:00:00 AM,Non-Conventional Oil,7486064.1,09-30-2021 11:18:17 AM
97646,08-01-2010 12:00:00 AM,Natural Gas,9586635100,09-30-2021 11:18:17 AM
97647,08-01-2010 12:00:00 AM,Conventional Oil,2310148.6,09-30-2021 11:18:17 AM
97648,09-01-2010 12:00:00 AM,Conventional Oil,2204683.1,09-30-2021 11:18:17 AM
97649,09-01-2010 12:00:00 AM,Non-Conventional Oil,6638169.8,09-30-2021 11:18:17 AM
97650,09-01-2010 12:00:00 AM,Natural Gas,8953293400,09-30-2021 11:18:17 AM
97651,10-01-2010 12:00:00 AM,Conventional Oil,2333947,09-30-2021 11:18:17 AM
97652,10-01-2010 12:00:00 AM,Non-Conventional Oil,7195056,09-30-2021 11:18:17 AM
97653,10-01-2010 12:00:00 AM,Natural Gas,9294761500,09-30-2021 11:18:17 AM
97654,11-01-2010 12:00:00 AM,Natural Gas,8801163600,09-30-2021 11:18:17 AM
97655,11-01-2010 12:00:00 AM,Conventional Oil,2306025,09-30-2021 11:18:17 AM
97656,11-01-2010 12:00:00 AM,Non-Conventional Oil,7759823,09-30-2021 11:18:17 AM
97657,12-01-2010 12:00:00 AM,Non-Conventional Oil,8218928.7,09-30-2021 11:18:17 AM
97658,12-01-2010 12:00:00 AM,Conventional Oil,2410320.1,09-30-2021 11:18:17 AM
97659,12-01-2010 12:00:00 AM,Natural Gas,9180499900,09-30-2021 11:18:17 AM
97660,01-01-2011 12:00:00 AM,Conventional Oil,2380002.7,09-30-2021 11:18:17 AM
97661,01-01-2011 12:00:00 AM,Natural Gas,9074097300,09-30-2021 11:18:17 AM
97662,01-01-2011 12:00:00 AM,Non-Conventional Oil,7744551.1,09-30-2021 11:18:17 AM
97663,02-01-2011 12:00:00 AM,Conventional Oil,2188150.2,09-30-2021 11:18:17 AM
97664,02-01-2011 12:00:00 AM,Non-Conventional Oil,7148457,09-30-2021 11:18:17 AM
97665,02-01-2011 12:00:00 AM,Natural Gas,8251698600,09-30-2021 11:18:17 AM
97666,03-01-2011 12:00:00 AM,Non-Conventional Oil,7706970.7,09-30-2021 11:18:17 AM
97667,03-01-2011 12:00:00 AM,Natural Gas,9091712400,09-30-2021 11:18:17 AM
97668,03-01-2011 12:00:00 AM,Conventional Oil,2455478.1,09-30-2021 11:18:17 AM
97669,04-01-2011 12:00:00 AM,Non-Conventional Oil,7445175.9,09-30-2021 11:18:17 AM
97670,04-01-2011 12:00:00 AM,Natural Gas,9104141800,09-30-2021 11:18:17 AM
97671,04-01-2011 12:00:00 AM,Conventional Oil,2395944.1,09-30-2021 11:18:17 AM
97672,05-01-2011 12:00:00 AM,Natural Gas,9051266800,09-30-2021 11:18:17 AM
97673,05-01-2011 12:00:00 AM,Conventional Oil,2298500.5,09-30-2021 11:18:17 AM
97674,05-01-2011 12:00:00 AM,Non-Conventional Oil,6595892.6,09-30-2021 11:18:17 AM
97675,06-01-2011 12:00:00 AM,Conventional Oil,2219853.9,09-30-2021 11:18:17 AM
97676,06-01-2011 12:00:00 AM,Natural Gas,8796907500,09-30-2021 11:18:17 AM
97677,06-01-2011 12:00:00 AM,Non-Conventional Oil,7248012.9,09-30-2021 11:18:17 AM
97678,07-01-2011 12:00:00 AM,Non-Conventional Oil,8333780.3,09-30-2021 11:18:17 AM
97679,07-01-2011 12:00:00 AM,Conventional Oil,2344236.1,09-30-2021 11:18:17 AM
97680,07-01-2011 12:00:00 AM,Natural Gas,9156216300,09-30-2021 11:18:17 AM
97681,08-01-2011 12:00:00 AM,Natural Gas,9059126600,09-30-2021 11:18:17 AM
97682,08-01-2011 12:00:00 AM,Conventional Oil,2432271,09-30-2021 11:18:17 AM
97683,08-01-2011 12:00:00 AM,Non-Conventional Oil,8773933.4,09-30-2021 11:18:17 AM
97684,09-01-2011 12:00:00 AM,Natural Gas,8632952800,09-30-2021 11:18:17 AM
97685,09-01-2011 12:00:00 AM,Conventional Oil,2437164.3,09-30-2021 11:18:17 AM
97686,09-01-2011 12:00:00 AM,Non-Conventional Oil,8038588.3,09-30-2021 11:18:17 AM
97687,10-01-2011 12:00:00 AM,Natural Gas,8914243200,09-30-2021 11:18:17 AM
97688,10-01-2011 12:00:00 AM,Conventional Oil,2594440.2,09-30-2021 11:18:17 AM
97689,10-01-2011 12:00:00 AM,Non-Conventional Oil,8500593.3,09-30-2021 11:18:17 AM
97690,11-01-2011 12:00:00 AM,Natural Gas,8859161600,09-30-2021 11:18:17 AM
97691,11-01-2011 12:00:00 AM,Conventional Oil,2597544.5,09-30-2021 11:18:17 AM
97692,11-01-2011 12:00:00 AM,Non-Conventional Oil,8015631.6,09-30-2021 11:18:17 AM
97693,12-01-2011 12:00:00 AM,Conventional Oil,2791461.7,09-30-2021 11:18:17 AM
97694,12-01-2011 12:00:00 AM,Natural Gas,9286980100,09-30-2021 11:18:17 AM
97695,12-01-2011 12:00:00 AM,Non-Conventional Oil,8699535.7,09-30-2021 11:18:17 AM
97696,01-01-2012 12:00:00 AM,Conventional Oil,2732441,09-30-2021 11:18:17 AM
97697,01-01-2012 12:00:00 AM,Non-Conventional Oil,8781010.4,09-30-2021 11:18:17 AM
97698,01-01-2012 12:00:00 AM,Natural Gas,8873359200,09-30-2021 11:18:17 AM
